,Location,Retweet_Count,Date,Tweets
47,"New Delhi, India",0,Mon Mar 02 10:52:05 +0000 2020,@nanditathhakur @republic @AmitShah we regret to inform most of the handle FB  Twitter and Mob no pertains to cong and its allies who are prosecuted lot. With #CAA in force we can take action against Hindu and esp those who dared to make dead Hindus alive
49,"Hyderabad, India ðŸ‡®ðŸ‡³",0,Mon Mar 02 10:48:28 +0000 2020,"@fayedsouza I'm against #CAA and #Violence.  Infact, there is no relation between both because #DelhiViolence erupted by people with bad intentions.  We may get into clashes whenever a bill is passed. But that should not be reason to dissolve the act, ins"
50,"Dehradun, India",0,Mon Mar 02 10:47:37 +0000 2020,"We have lost some wonderful writers, actors, musicians, comedians, painters and politicians to activism. #MondayMotivation #mondaythoughts #MondayMorning #CAA #CAA_NRCProtests #lifelovekumbh"
52,Mumbai,0,Mon Mar 02 10:34:52 +0000 2020,"Ajit Pawar, @AjitPawarSpeaks : you spoke your conscience on #CAA, well done. Now do the same on #UrbanNaxals #bhimakoregaon, and take action on #tukdetukdegang in Mumbai. @AnilDeshmukhNCP @OfficeofUT @uddhavthackeray"
53,K. C. Palli ,0,Mon Mar 02 10:33:43 +0000 2020,"Guntur, #YSRCP MLA, Musthafa gave an ultimatum to the party, it should pass a resolution against the #CAA and NRC in the ensuing Assembly Sessions or he will resign from Assembly. Let's see if the CM yields to his demand or show his self-respect. #Musthafa is a radical Islamist."
55,"Bengaluru, India",0,Mon Mar 02 10:31:44 +0000 2020,@sardesairajdeep @AmitShah When the actual culprits like you and the @INCIndia never regretted for the loss of lives in Delhi. Itâ€™s all because of your false propaganda against #CAA .. Hope one day you and your Brigade apologise for your grave mistake @
58,Hyderabad,4,Mon Mar 02 10:29:59 +0000 2020,"With respect to #CAA, India is divided. And, we cant even agree on what our country means to us. From how I see it, it is a huge communication crisis from the Govt's side and opportunity for those interested in political communication future. #JustSaying"
60,"Pune, India",0,Mon Mar 02 10:17:36 +0000 2020,at present sharad pawar most dangerous person for Hindus. He is constantly targeting hindu faiths and repeatedly run fake propaganda on #CAA .@narendramodi beware of him. He is even more dangerous then ovesi.
63,"Bihar, India",0,Mon Mar 02 10:10:30 +0000 2020,#à¤‡à¤¸à¥à¤¤à¥€à¤«à¤¾_à¤¦à¥‹_AmitShah @AmitShah you are doing very well that's why people against you but we are all with you and with your decision we support #CAA and #NRC
68,House of Happiness,1,Mon Mar 02 09:32:22 +0000 2020,RT @MareTriste: It's positively surprising to watch the increasing Indian support towards #Greece. This happens due to the same experienceâ€¦
70,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 09:28:23 +0000 2020,"@htTweets #CAA or #NRC, if #Modi govt has no plans to send the #Bengali #Refugees and #Infiltrators back to #Bangladesh, biggest sufferer will be West Bengal and the indigenous #Bengalis and #Tribals of #India."
71,â˜¦ Around Paradise ,1,Mon Mar 02 09:26:02 +0000 2020,It's positively surprising to watch the increasing Indian support towards #Greece. This happens due to the same experience India is facing these days due to #CAA and Delhi riots. This kind of invasion isn't only Greek. #GreeceUnderAttack  #IStandWithGreece #CAASUPPORT ðŸ‡¬ðŸ‡·ðŸ‡®ðŸ‡³
73,"Purulion, JNU 'ite nw B,lorean",0,Mon Mar 02 09:24:40 +0000 2020,"@ani_digital @ANI #CAA or #NRC, if #Modi govt has no plans to send the #Bengali #Refugees and #Infiltrators back to #Bangladesh, biggest sufferer will be West Bengal and the indigenous #Bengalis of #India."
74,,0,Mon Mar 02 09:10:19 +0000 2020,#Hindus are working very hard to serve #Pakistani #Bangladesh #Afganistan under #CAA by fighting #Muslims in #india and #DelhiViolence #DelhiRiot2020 is fighting example   #Islamic
76,,0,Mon Mar 02 09:09:06 +0000 2020,"@Baronvonblue @ZSHASHZ @elonmusk Mobbing againt the #CAA and #NRC protesters, 40+ dead. religious places vandalized. BJP gang trying to paint it otherwise through media and all."
78,,0,Mon Mar 02 09:06:12 +0000 2020,"@KapilSibal Dear sir, Article 6 and 7 of our constitution deals with citizenship of migrants. It shows no sign of communalism though the persecution of minorities was at peak that time.. Can 'no communalism in citizenship' comes under basic structure doct"
79,,0,Mon Mar 02 09:05:46 +0000 2020,"@thetribunechd why did the paper always write controversial for #CAA did the paper finds any such controversy in it or for do it only for vested interest and incite emotions of people, ma'am @anshumalini3 please reply why such confusion is created"
80,"Tampa, FL",0,Mon Mar 02 09:01:18 +0000 2020,@Baronvonblue @ZSHASHZ @elonmusk Some ppl do not like an act recently passed by govt to grant citizenship to the neighboring countyâ€™s religious minorities who took refuge in India prior to 2014. Mobbing was the result of clash between pro and anti citiz
