,Location,Retweet_Count,Date,Tweets
538,,0,Sun Mar 01 15:37:43 +0000 2020,@rakhitripathi Please define #CAA and enlighten us if its against any Indian..
539,,0,Sun Mar 01 15:37:19 +0000 2020,"Avoid all Bollywood movies which actresses and actors belongs against #CAA ,#HinduSena #Hindutva"
541,"Indore, India",0,Sun Mar 01 15:32:33 +0000 2020,Yes I am secular and I also supports CAA. Will society accept me? . . #CAA #CAA_NRC_Protests
545,India,0,Sun Mar 01 15:31:48 +0000 2020,"@fayedsouza After protesting so much, losing an infant life at Shaheen Bagh and countless deaths in riots caused by such protests, Can anyone explain which line of #CAA is the problem?"
546,"Jambudwipe, Bharatkhande",0,Sun Mar 01 15:30:17 +0000 2020,"@fayedsouza Faye our country ðŸ‡®ðŸ‡³ is not ready for it   The structure , Governance , and most importantly technology is almost non existent   Lastly :don't force it to win elections .. it may not prove to be juggernaut anymore   A good many moneybags "
551,"chennai,india",0,Sun Mar 01 15:19:43 +0000 2020,#CAA questions @naukarshah  1)Oppose CAA bcos it is unsecular and arbitrary in who is included among persecuted minorities?. 2)Oppose it bcos in Assam it will deny citizenship to Muslims who were excluded in NRC even if they were actually not illegal immigrants?. 1/n
555,"Gujarat, India",0,Sun Mar 01 15:14:54 +0000 2020,@fayedsouza We need #CAA and #NRC_NPR exactly for these purpose. These suvars are the cause who will not allow non muslims to live in Bharat and ask for Azaadi. Send them all to Pakishaitan and Bangladesh we gave it for Muslims.
558,"Nagaon,Assam,India.",0,Sun Mar 01 15:10:45 +0000 2020,"@fayedsouza I can understand ppl not welcoming #CAA and new citizens with it, because this country is not providing enough for the ones already living here.   But why against #NRC ?  I want illegal immigrants out of here."
559,,0,Sun Mar 01 15:10:30 +0000 2020,@DhamiSd106 @kaushikcbasu India is burning. And this fire has been lit by all those who have been spreading fake &amp; mischevious narratives that #CAA is discriminatory &amp; is Anti-Muslim   The blame is also on those who instigated the common man to de
562,,0,Sun Mar 01 15:10:02 +0000 2020,"@deadline_guru @riz1ahamed Haha see some of you are good ones but, just to do riots and announce jihaad on rules like #caa and #NRC_NPR those muslims are terrorists and the way you guys kill people if i were to be you i would have been ashamed to be a mus"
563,Jaipur,4,Sun Mar 01 15:09:40 +0000 2020,@MIB_India @PrakashJavdekar Since the passage of #CAA in December 2019 many news channels and journalists continuously misled and fuelled aggression among Muslim community which led to violence.When their responsibility be fixed and action will be taken a
569,,0,Sun Mar 01 15:08:27 +0000 2020,@AmitShah only cares about the #CAA being passed. The country is burning and people are dying yet all he cares for is #CAA. Just shows that how unsympathetic #BJP can be. It is shameless that they have no value for life. #IndiaBurning
573,"Jammu, Jammu And Kashmir",0,Sun Mar 01 15:07:17 +0000 2020,Had the  #SupremeCourt initially stayed implementation of #CAA the lawlessness resulting in communal roits would have been prevented. Loss of lives would have been saved? Same inaction  against    Goli Maro gang of MPs and others. Cant Hon'ble judges act  now?
581,mumbai,0,Sun Mar 01 15:00:06 +0000 2020,"I feel people should listen to the police and go home peacefully. The government said No NRC is coming, so let's take their word 4 it.  If they bring it you can always protest peacefully again. As for #CAA being unconstitutional let the court decide.   #ShaheenBagh"
589,"Madhya Pradesh, India",0,Sun Mar 01 14:53:01 +0000 2020,"Wow was dwelling deep into Bhadhralok community and Namashudra community of west bengal and now i am pretty sure why still there is caste system prevelant in India,communist got power using Namashudras and then started to depot them and later blamed bhadhralok. #Politics  #CAA"
591,India,0,Sun Mar 01 14:52:16 +0000 2020,"@ANI request to All NGOs, parties, every indian, every religion in indian.....please co together and work on communalism it is the biggest and hardest problem india is facing today #DelhiRiots2020 #CoronaVirusUpdate #DelhiViolance #DelhiViolence #CAA #NRC"
593,"Pune, India",2,Sun Mar 01 14:51:28 +0000 2020,"@KanchanGupta @CNNnews18 â€œdisinformation campaign on #CAA that has resulted in riots, deaths and destructionâ€ Big question is- Why has govt not acted against these criminal acts? This only emboldened them. This is damaging Indiaâ€™s image as well as d"
594,,1,Sun Mar 01 14:51:24 +0000 2020,Great now we have riots in Tilak Nagar @PMOIndia @PIBHomeAffairs @AmitShah @narendramodi Request you please take immediate action.  @IndiaToday Please run this news #TilakNagar #riots   And the #Hypocrites who think #CAA was wrong. These events justify #CAA n their need.
597,"Coimbatore, India",0,Sun Mar 01 14:48:01 +0000 2020,"@saysatheesh @SaffronSurge3 @itisprashanth It is as simple as that opposition parties are provoking these kind of protests for their political gain and vote. As I know about #CAA ,an existing #Indian citizens need not to worry,as It doesn't applicable for"
601,"Toronto, Ontario",0,Sun Mar 01 14:42:48 +0000 2020,"Shah need to go a bit more clear on #CAA rallies, explaining the rules/requirement  Enough said We wont take back #CAA, it gives citizenship Explian It gives citz to * ONLY those who asked for it until 2014  And only THOSE WHO  *SHOW THEIR FOREIGN DOCUMENTS"
602,,0,Sun Mar 01 14:41:49 +0000 2020,"If a #racist, #homophobic and incompetent buffoon such as #BorisJohnson could find the current situation appalling and the #CAA divisive, you must be doing something wrong. #GoBackAmitShah #CAA_NRC_Protests #Delhi"
608,,0,Sun Mar 01 14:37:18 +0000 2020,"Why UK parliament discusses Indian internal affairs. Do they think India is still their colony? Do they want India to discuss Britain's policies and pass resolutions?  Instead, they should stop being safe haven for criminals across world and our country.  #CAA #CAA_NRC_NPR"
613,,0,Sun Mar 01 14:34:26 +0000 2020,"Look what have you done #CAA and #NRC, burnt my country. I'm sensing fear all around me, and being locked inside your own house. May God grant these fools with nonsense in their heads who think their religion is superior some wits. #NotForGod #ForPoliticians #MyIndiaisGreat"
617,AHMEDABAD,0,Sun Mar 01 14:31:59 +0000 2020,"@fayedsouza So, a law passed by the parliament should be discarded just because some people with the help of vested interest and a biased media is able to create anarchy in the society and threatens to taar down the fabric of society. Some journalism this"
618,,4,Sun Mar 01 14:30:55 +0000 2020,"@fayedsouza âž¡ï¸#CAA was not needed. Even without it, citizenship &amp;or asylum could be granted to any meritorious immigrant, even if illegal. âž¡ï¸CAA was attempt to polarize and consolidate members of 6 communities into #BJP's #VoteBank. âž¡ï¸CAA "
619,Earth,0,Sun Mar 01 14:29:49 +0000 2020,#shaheenbaghcollapse if some people have misunderstood #CAA others have misunderstood the meaning of #Secular as defined in the #Constitution  and its application to a democratic republic.
630,Bengaluru,1,Sun Mar 01 14:25:54 +0000 2020,"@fayedsouza Lol. Aren't you exposing yourself. Now you realize a law which doesn't affect citizens and all these mayhem in the name of #CAA was totally a chrislamic project as a part of hate Hindu, hate Modi and hate India! #soros"
637,"Gujarat, India",1,Sun Mar 01 14:22:51 +0000 2020,RT @rushiraj_dave: Bro.. If you have documents then why are you scared???? #NRC #CAA  Ans - bro.. if you have seen Delhi police's behaviourâ€¦
638,,0,Sun Mar 01 14:22:42 +0000 2020,"@fayedsouza So with all your journalistic brilliance, can you explain how #CAA is harmful to Indian Muslims? And why it needs to be scrapped? Take this challenge else we all know how you operate ðŸ’°"
648,,0,Sun Mar 01 14:17:16 +0000 2020,@republic There are numerous videos of hate speeches seen on social media ..these should be given equal coverage as to that of @KapilMishra_IND so that public is able compare and form informed opinion about riot instigators &amp; riot-enabblers @TimesNow 
651,"New Delhi, India",1,Sun Mar 01 14:16:12 +0000 2020,RT @kumar_rajeev555: @AmitShah @BJP4Bengal Kashmiri Muslims &amp; others with folding hand requesting to @PMOIndia  @AmitShahOffice to evacuateâ€¦
670,"yahan, wahan or kahan",1,Sun Mar 01 14:09:33 +0000 2020,"Bro.. If you have documents then why are you scared???? #NRC #CAA  Ans - bro.. if you have seen Delhi police's behaviour and selective actions in #DelhiRiot2020, you get it. It's Not Rocket science.  PS - Delhi police takes orders from home minister Amit shah's office."
679,,1,Sun Mar 01 14:05:25 +0000 2020,"RT @CAPMohan: @fayedsouza Now #CAA is like chemo , Painful, but India is not going to survive with this kind of political and economic burdâ€¦"
680,"Bhubaneshwar, India",0,Sun Mar 01 14:04:42 +0000 2020,"#Political_Islam Anti-CAA #Islamist protesters of India know well that #CAA has nothing to do with them and fighting for the citizenship of Muslim refugees from neighbouring #countries. The attack is being made behind the faÃ§ade of Democracy, Secularism and Constitution. #Lebanon"
682,"Kuala lumpur, Malaysia",0,Sun Mar 01 14:04:36 +0000 2020,@soulstage @ZeeNewsHindi @sudhirchaudhary @SureshChavhanke @vijai63 @republic @AdityaRajKaul @dhaval241086 @muglikar_ @TimesNow @9NEWS @CBS @ABVPVoice @vikasbhaABP @ABPNews @awasthis @KapilMishra_IND @soulstage I think so you are living in the USA as nobo
686,,1,Sun Mar 01 14:02:10 +0000 2020,"RT @ImrankhanAmanu1: During marina protest for jallikattu, muslim brothers and sisters came and supported.  Now we just required all Tamilâ€¦"
687,"Chennai, India",1,Sun Mar 01 14:01:22 +0000 2020,"During marina protest for jallikattu, muslim brothers and sisters came and supported.  Now we just required all Tamil brothers and sisters to support us #CAA #IndianMuslimsInDanger"
689,,0,Sun Mar 01 13:59:40 +0000 2020,"@ShekharGupta The fire has been lit not by the BJP but by those who are working overtime to spread false &amp; Mischevious narratives that #CAA is ""Discriminatory"" and is ""Anti-Muslim""   Moreover, all those who instigated the ppl to break section 144 &amp"
694,India,53,Sun Mar 01 13:55:30 +0000 2020,"#AmitShah finally broke his silence but neither condemned #DelhiViolence nor appealed for peace. Instead, he praised #PMModi for â€˜historic decisionsâ€™ and blamed Opposition for spreading â€˜misinformationâ€™ over the #CAA.   #GoBackAmitShah #DelhiRiots #WorldAgainstDelhiPogrom"
700,"Mumbai, India",0,Sun Mar 01 13:50:43 +0000 2020,@Voice_For_India So the side effects shown of #CAA and #NRC. India soon to become like Pakistan if  NRC is implemented. In modi govt india has gone towards backwards.
703,,0,Sun Mar 01 13:48:14 +0000 2020,Chronology 1. Bring/Amend UnConstitutional Law.#CAA  2. Affected People Will Protest. #CAA_NRC_Protests   3. Politicians will provoke people to kill protesters. #DelhiRiots   4.Ankit lost his life and Mudassir lost his father.(Hindu Muslim Fights) #WorldAgainstDelhiPogrom
709,,0,Sun Mar 01 13:43:24 +0000 2020,Delighted to see steadfast stand of Modi govt on #CAA. I guess lot CAA beneficiaries would be Hindus and Sindhis.  Govt should make a grand function of handing these beneficiaries citizenship on Gudi Padva- Chetichaand day. Signaling ushering of beautiful days ahead for them.
713,"Wayne, NJ",0,Sun Mar 01 13:39:25 +0000 2020,@khanumarfa How many times same thing has been repeated? He and every minister has said #CAA is not applicable for Indian citizens. No Indian will loose citizenship. Dispelling may not be mediaâ€™s or oppositionâ€™s job but neither should be spreading mis
718,,2,Sun Mar 01 13:38:04 +0000 2020,"The goons are provoked by congress, AAP and intellectual terrorists. under the deliberate misinformation on #CAA, now the property of hindus being destroyed and they are being butchered, now who will bear responsibility of loss #Islamic_jihad"
724,"Jabalpur, India",1,Sun Mar 01 13:35:31 +0000 2020,"I think people of Delhi completely misunderstood the difference between Fundamental Rights and Fundamental Riots. #AK as CM, it's your duty to remind people about Fundamental Rights. Otherwise Riots will be continued.  #DelhiAgainstJehadiViolence  #DelhiRiot2020 #RiotReality #CAA"
726,,1,Sun Mar 01 13:34:29 +0000 2020,"@fayedsouza Now #CAA is like chemo , Painful, but India is not going to survive with this kind of political and economic burden from Abrahamic religionists."
729,India,1,Sun Mar 01 13:32:37 +0000 2020,RT @zedsnotdeadpool: Those saying only way to restore peace is to withdraw #NRC &amp; #CAA in the current form.  You're wrong.  RSS/ BJP not NRâ€¦
736,,0,Sun Mar 01 13:29:05 +0000 2020,"To all those who have been brainwashed. CAA does not affect people who are already a citizen of India and during NRC, everyone will have to prove their citizenship, NOT JUST MUSLIMS, BUT HINDUS, CHRISTIANS, SIKHS, EVERY RELIGION. #CAA #IAmIndianISupportCAA #Muslim #Hindus"
755,"Rewari, India",38,Sun Mar 01 13:20:20 +0000 2020,@sonamakapoor @theka_baar Once ask your dad what his grandfather told about Pakistan and why you are in India. What if your ancestors would have been in Pakistan.   First understand what #CAA is actually than spit out something.  @AnilKapoor
756,"Raheja  Vihar, Powai, Mumbai",0,Sun Mar 01 13:18:58 +0000 2020,#MamataBanerjee govt must identify and arrest those goons who mouthed 'Goli Mari...' slogan on way to @AmitShah rally in #Kolkata..and it's not at all difficult..but i dont think she will ever do that to keep their identities under wrap.. #CAA #CAA_NRC_Protests  #Bengal
761,"Kolkata, India",0,Sun Mar 01 13:13:54 +0000 2020,@timesofindia Does the gov't means that others are playing with #bharatjalaoparty #political #agenda  playing #politics with #blunderousjugglersparty #hindutwa #chronology  Playing #politics with #bigjholjhalparty fake #CAA #narratives sounds amazingly fu
769,,0,Sun Mar 01 13:10:05 +0000 2020,"#CAA The world seems totally panicked about Coronavirus and for good reason.  Cases in Iran, Korea, Japan, Europe and the US.   Luckily, India seems remarkably safe from the virus.  Some kind of genetics saving us?"
782,"Chennai, India",0,Sun Mar 01 13:05:14 +0000 2020,"@ndtv @tashandstar Seriously there is something seriously wrong with shah. #CAA in Meghalaya  willl look a patch work quilt, where people  cofined within designated ILP patches will forever have to worry those in   #CAA patches will not stretch their legs"
785,Paradise City,0,Sun Mar 01 13:02:53 +0000 2020,"Superstar Shah in Bengal must be giving didi nightmares. Itâ€™s time @BJP4India wrest back Bengal and make it Indian, not a cesspool for Bangladeshi illegals. @BJP4Karnataka ðŸ”¥ðŸ‡®ðŸ‡³ðŸ”±  #AmitShah #BengalWelcomesAmitShah #bjp #Isupportdelhipolice #caa"
811,,0,Sun Mar 01 12:51:30 +0000 2020,"@ShekharGupta BJP did not light...""journos"" like you and your ilk misled &amp; fanned flames of the illiterate Muslim mobs and egged them to riot. Your education is a waste - you earn ur bread by feasting on carcasses you create knowing well that CAA does"
825,Tamilnadu,0,Sun Mar 01 12:47:23 +0000 2020,No Indian lost his citizenship but 42 lost their life and several still in critical !!  #CAA #CAA_NRC_Protests
844,à¤­à¤¾à¤°à¤¤à¤µà¤°à¥à¤·à¥¤,0,Sun Mar 01 12:38:09 +0000 2020,"@Veenabhakta Oh, they know it all about #CAA and are experts on the subject matter, as per their ""Highly Intellectual"" passengers ðŸ˜"
846,New Delhi,92,Sun Mar 01 12:36:31 +0000 2020,#VVI Imp. #Thread - 1/16  Exposing the truth of #DelhiRiots2020  And this is how the #CAA protest has evolved:  From Jamia to #ShaheenBagh &amp; then #Jaffarabad &amp; then #DelhiRiots2020  Kabhi Jinnah Wali Azadi toh Kabhi Hinduo Se Cheen Ke Lenge Azadi Kabhi Hinduo Ki Kabar Khodenge...
851,"Bengaluru, India",0,Sun Mar 01 12:33:21 +0000 2020,"@_sabanaqvi @scroll_in Yes .. when we canâ€™t win elections, we instigate people on a law like #CAA and create unrest in the Country !"
853,,0,Sun Mar 01 12:31:55 +0000 2020,"@fayedsouza Chor ke dadhi me tinka?  So all the violent protests and rioting was done to blackmail gov't to withdraw humanitarian #CAA ?  It gives citizenship to persecuted  minorities from Islamic muslim majority countries Pak, Bangladesh &amp; Afganista"
859,"Prayagraj, India",0,Sun Mar 01 12:28:43 +0000 2020,@kamaalrkhan I'm a BJP and #CAA supporter and I'm against communal killing!!
860,,0,Sun Mar 01 12:28:20 +0000 2020,#rajnikanth understands well #CAA.no Indian citizen is impacted with this law #CAA.Why so much of FUSS  ? what this #shahinbagh type protest by blocking the Roads and creating inconvenience to citizen! it seems a mob instigated by VESTED INTERST @RahulGandhi @KTRTRS @PawarSpeaks
861,à¤­à¤¾à¤°à¤¤,0,Sun Mar 01 12:27:54 +0000 2020,"@rupasubramanya RupaJi. Have you read 93rd amendment and PCTV bill? If not then do read   Unlike #CAA thatâ€™s a humanitarian law for only refugees, those discriminatory provisions were for us Indians.   Yet Hindus caused no riots."
866,Delhi NCR,1,Sun Mar 01 12:24:22 +0000 2020,RT @amitguptaHR: @gopalkagarwal @ManishTewari @AmitShah @INCIndia and whole lot of #UrbanNaxals know they canâ€™t prove #CAA illegal. Thatâ€™sâ€¦
875,"Banda Aceh, Indonesia",0,Sun Mar 01 12:19:04 +0000 2020,"One of the CAB laws contains the possibility of illegal non-Muslim immigrants from Afghanistan, Bangladesh and Pakistan to obtain citizenship, the BBC reported.  #ShameOnYouModi #India #CAA #Hindu_Is_Terrorist #Pray4MoslemIndia #Muslims"
904,,0,Sun Mar 01 12:07:17 +0000 2020,"@vinod_sharma #CAA India, by choosing to be secular nation in 1947, has done much better than Pakistan and Bangladesh. The vibrant multi-cultural and multi-religious Indian society helped its progress to what it is today. Do not turn India into Taliban's "
913,Twitter,1,Sun Mar 01 12:00:29 +0000 2020,Those saying only way to restore peace is to withdraw #NRC &amp; #CAA in the current form.  You're wrong.  RSS/ BJP not NRC is behind the violence. NRC is just the excuse.   And there is no stopping the slide towards fascism now
914,,0,Sun Mar 01 11:59:37 +0000 2020,@eenadulivenews #CAA India as a sovereign nation has the right to expel anyone from the country and revoke visa. But it should not use that expel someone for an expression of a view. It has the right but is it right? What are we afraid of? Are we so intol
926,Wakanda,298,Sun Mar 01 11:53:42 +0000 2020,RT @ANI: Jadavpur University sources: Foreign Regional Registration Office under Union Ministry of Home Affairs sends notice to Kamil Siedcâ€¦
940,,0,Sun Mar 01 11:48:01 +0000 2020,@Sanjay_Dixit #CAA Fair treatment is all that is wanted. NRC in Assam put 15 lakh Hindus and 4 lakh Muslims in question. Treat them equally. It will be ice to see the source of the stats you have quoted on population growths.
958,,0,Sun Mar 01 11:40:58 +0000 2020,@saadhammadi He will be left out the #NRC and then given #citizenship under amended #CAA because he is #Hindu. The one two punch of NRC and CAA was designed to get only #Muslims out of â€œHindustanâ€.
975,Utopia :),0,Sun Mar 01 11:36:07 +0000 2020,"@AmitShah today again reiterated that Hindus, Sikhs, Buddhists and Jains do not need to fear CAA and NRC.  What's missing.  #AmitShah #caa #nrc"
982,India,0,Sun Mar 01 11:33:56 +0000 2020,@smritiirani @PIB_India @narendramodi Please donâ€™t try to teach girls too .after educated they will against you and ur government .did u see the educated people protest against #CAA and #NRC .just teach them care of family and cook foods #CAA  #CAA_NRC_
1002,Jaipur,338,Sun Mar 01 11:28:32 +0000 2020,"In undivided India, Punjab provinceâ€™s Muslim population went from 47.6% in 1881 to 53.2% to 1941.  You know what happened after that.  In whole of India, it went up from 18% to 24% between 1881 and 1941; you know the result.  So what does the  Anti-#CAA lobby want?"
1003,"Mumbai, India",0,Sun Mar 01 11:28:17 +0000 2020,Y no big celebrities and big corporates like Ambani not telling about #CAA . That means this has affected middle class and poor people only...   @imransolanki313 @ArvindKejriwal @Imran_ladha @sushant_says
1005,,0,Sun Mar 01 11:24:11 +0000 2020,"@ANI Terrible .All these foreign students have been given visa for a purpose to learn . Not to oppose / support #CAA.As such no India citizen is impacted in #CAA , few vested interest community/ political leaders are mis-guiding students and  #Sunni Musli"
1006,whythis,0,Sun Mar 01 11:22:07 +0000 2020,"@DVATW Oxymoron, support CAA n protection of minority.  And what Pak has to do with #CAA ðŸ¤”"
1009,,0,Sun Mar 01 11:15:00 +0000 2020,@rahulgupta1976 #CAA Welcoming persecuted ppl to come to India is a sign of a great nation. But CAA + NRC make ONLY the Muslims stateless and send them to death in detention camps. Amend CAA to make it fair &amp; just â€“ include Myanmar &amp; Sri Lanka a
1011,,0,Sun Mar 01 11:14:18 +0000 2020,"@SethShruti More than politicians, hate mongers like you hv misguided and instigated Muslims on harmless &amp; humanitarian #CAA.....  You are equally responsible for 43 deaths. Wait for the day when Karma will do justice with you...."
1012,"New Delhi, India",1,Sun Mar 01 11:09:15 +0000 2020,"@AmitShah @BJP4Bengal Kashmiri Muslims &amp; others with folding hand requesting to @PMOIndia  @AmitShahOffice to evacuate thr children from Iran,China, And with all efforts Our Govt evacuating them. But Muslims are protesting #CAA .SHAME ON #ShaheenBagh "
1013,Vadodara,0,Sun Mar 01 11:01:17 +0000 2020,@Mdzeeshanayyub And you r the bloody #Terrorists @DelhiPolice @DCP_DelhiMetro iska v bhasan tweet v dekh lo #CAA ke khilaf galat info isne v post kiya hey jiska indirect connection #DelhiRiots ae hey
1015,Ranchi ,0,Sun Mar 01 10:59:28 +0000 2020,@RudraRa04864495 @Javedakhtarjadu @DelhiPolice Javed Akhtar's family has known as the intellectuals and well educated family in Muslim's society. He is wholly responsible to instigate Muslim's to protest against the #CAA without going to understand the la
1016,,1,Sun Mar 01 10:59:11 +0000 2020,"RT @viralrg: As #Hindus, you may many Gods &amp; Sects, you may have your different holy books, you may have different gurus but to stay safe fâ€¦"
1018,"Sitamarhi, bihar",0,Sun Mar 01 10:57:34 +0000 2020,#CAA is a law granting citizenship. Not sniffer. First read the law and know the truth. Do not be ridiculous. @antonioguterres @UNHumanRights @UN @UNinIndia @Refugees
1022,"Mangalore, India",0,Sun Mar 01 10:48:21 +0000 2020,After #CAA #NRC came. The peace of India is gone and at many places people got killed and humanity value is lost too. Hope it gets cancelled and humanity is saved
1026,Shillong ,1,Sun Mar 01 10:41:32 +0000 2020,RT @coolcloud9: Curfew in my hometown #Shillong for the 2nd consecutive day after two lives were lost. The #CAA fire lit by Modi-Shah and iâ€¦
1027,India,0,Sun Mar 01 10:39:22 +0000 2020,"@ANI From bangladesi, German to Polish, and world.... do your own business. #CAA  Protest is not celebration, don't insert ur nose here."
1030,"Indore, India",0,Sun Mar 01 10:30:57 +0000 2020,"It's not limited to self safety. It's about the safety of our constitution. Wake up unawares plz wake up. Fire is expanding. will soon be burning ur home but then it'll be too late to wake. So wake today, support the minorities and oppose #CAA Requested ðŸ™ #DelhiRiot2020"
1031,India,0,Sun Mar 01 10:27:50 +0000 2020,@Islam_is_sin Kitna fake propagana fealate ho  2 months of Anti #CAA protest no violence  1 Pro CAA rally and Delhi turns into Gujarat 2002.  But naive chintu bhakts  will carry their bogus propoganda like urself
1034,,1,Sun Mar 01 10:17:00 +0000 2020,Curfew in my hometown #Shillong for the 2nd consecutive day after two lives were lost. The #CAA fire lit by Modi-Shah and ignored by @SangmaConrad for political gains is engulfing our state.
1035,Bharat,1,Sun Mar 01 10:14:14 +0000 2020,"RT @manuVirodhi: After #CAA, #CAA_NRC_Protests, #ShaheenBagh, Hindu and Muslim, Kapil Mishra and Owaisi;  Who is more famous today - Mahatmâ€¦"
1043,Sikkim....Bengaluru,5,Sun Mar 01 09:58:51 +0000 2020,"@PTI_News And with your NDA supporting Govt , and with your own Governor in Meghalaya, 3 deaths have happened in last 2 days over #CAA .."
1044,India,1,Sun Mar 01 09:54:37 +0000 2020,"As #Hindus, you may many Gods &amp; Sects, you may have your different holy books, you may have different gurus but to stay safe from these #Jihadis, you'll have to become one. Respect each others choice and unite #DelhiRiots #CAA #caa_nrc_support #Delhi"
1046,India,0,Sun Mar 01 09:52:05 +0000 2020,"Learning for #Hindus of #India, let's not be fools and vote on #economic agenda and issues. The guy you've voted is the best else you'll lose your faith and name in times to come. Support #Modi unconditionally! #370 #RamMandir,  #GST etc can't be done by weak! #DelhiRiots #CAA"
1049,"Pune, India",0,Sun Mar 01 09:48:48 +0000 2020,@OpusOfAli WRONG. I am a proud Hindu Brahmin. Not here to preach any of my Hindu/Muslim brothers. I support #caa. Yet to decide on NRC as rules are not discussed. And I donâ€™t have any hatred towards a common Muslim unless itâ€™s proven that that specifi
1050,India,0,Sun Mar 01 09:48:18 +0000 2020,"Learning for #Hindus from #delhielections2020, don't be fools and vote on economic issues &amp; freebies, they made you fools and looted you anyway! Be united and fight for your cause now or you'll be decimated by Natwarlal gang #DelhiRiots #Delhi #DelhiViolence #CAA #Hindutva"
1055,,0,Sun Mar 01 09:41:19 +0000 2020,@asomputra What if bjp gets elected to power in 2021?It will be the final nail in the coffin of the Assamese. And the #CAA has indeed delivered the desired output for the godse-followers
1060,,0,Sun Mar 01 09:38:21 +0000 2020,NRC and CAA is must now.  Population control would be cherry on top. Dear @narendramodi and @AmitShah  do it ASAP.  #CAA #NRC
1063,,1,Sun Mar 01 09:36:44 +0000 2020,RT @amitajaykumar: #boycottthappad if any #Bollywood #celebrity oppose #CAA or #NRC we will oppose and #boycott them.
1064,"New Delhi, India",0,Sun Mar 01 09:35:48 +0000 2020,People are murdering  'right to protest' in the name of public inconvenience. Demonitisation was a historical inconvenience which achieved nothing and 130+ people died in queues. Where were the nationalists back then? #AAP #ShaheenBagh #CAA
1073,"Jamboo dweepe, Bharatavarshe, ",1,Sun Mar 01 09:32:24 +0000 2020,RT @NationalistDP: My msg to the the jokers at #ShaheenBagh - Modi sarkar will never withdraw #CAA. So stop behaving like fools because itâ€¦
1081,,1,Sun Mar 01 09:30:04 +0000 2020,RT @Naresh761991: They are filling the minorities with fear that they will lose their citizenship.   I assure every person from the minoritâ€¦
1086,"Ahmedabad, India",1,Sun Mar 01 09:29:40 +0000 2020,My msg to the the jokers at #ShaheenBagh - Modi sarkar will never withdraw #CAA. So stop behaving like fools because it is you who has got it all wrong about the act and you look like desh drohis to the majority of us. Period!
1090,"Chhota Udepur, Gujarat",0,Sun Mar 01 09:27:30 +0000 2020,"#AarNoiAnnay  They are filling the minorities with fear that they will lose their citizenship.   I assure every person from the minority class that #CAA only provides citizenship, and takes nothing away. It won't affect you in any way: Union Home Minister Shri @AmitShah Ji"
1092,"Mumbai, India",0,Sun Mar 01 09:27:12 +0000 2020,"@Shubhrastha @_YogendraYadav @_YogendraYadav and @ashutosh83B are guilty of publicly lying about #CAA. Ashutosh has been seen with #TahirHussain in election rallies! And, both of them have only one agenda #AntiModi. And, they always try to come across as "
1099,Bharat,1,Sun Mar 01 09:21:03 +0000 2020,"After #CAA, #CAA_NRC_Protests, #ShaheenBagh, Hindu and Muslim, Kapil Mishra and Owaisi;  Who is more famous today - Mahatma Gandhi or Ambedkar?"
1100,"à¤°à¥‹à¤¹à¤¤à¤•, à¤­à¤¾à¤°à¤¤",0,Sun Mar 01 09:20:18 +0000 2020,@Its_DineshKumar @beemji Keep on thrashing. Keep protesting for whole life .  Nothing will happen. #CAA_NRC_Protests is a fake protest with single point agenda of spreading communal hatred. #CAA  will not be rolled back at any cost. and NRC and NPR too wi
1101,DEL-LKO,0,Sun Mar 01 09:17:43 +0000 2020,"#caa has already led to riots in UP, Delhi and Meghalaya.  Why isn't the govt taking it back or getting the contentious text amended and remove reference to the religion."
1102,Tata/Mumbai/Pune/Delhi Bharat,0,Sun Mar 01 09:12:34 +0000 2020,"#GoBackAmitShah WHY WILL AMIT SHAH GO BACK?  Only  illegal immigrants- Bangladeshis, Pakistanis and Rohingyas will go back.  #AmitShah #CAA #NRC_CAA_NPR"
1103,,0,Sun Mar 01 09:10:11 +0000 2020,@aesthetic_camzy @IndianPrism Some great souls like @IndianPrism and others actually gave us strength to fight against Sangh and Anti-National #CAA and #NRC
1104,,0,Sun Mar 01 09:00:28 +0000 2020,There is a poll going on for #CAA #NRC Please take a movement and vote. Do you support CAA &amp; NRC?
1106,Taxila,0,Sun Mar 01 08:58:36 +0000 2020,@srinivasbatkiri @AmitShah @HMOIndia @PMOIndia Despite repeated call from home minister that no Indian citizen will be affected by #CAA. Yet jehadi of #Shaheenbagh forwarding #women and terrorising citizens by blocking the road. It is high time to deal wi
1107,,3,Sun Mar 01 08:57:20 +0000 2020,RT @BJPBarackpore: It's Democracy of West Bengal.. Where You can Oppose the Act which is passed by Parliament but you can't Support that ACâ€¦
1108,"Vijayanagara, Karnataka, India",0,Sun Mar 01 08:57:18 +0000 2020,@anantmahajan1 @ajavgal @Kanagalogy @ganeshchetan @GauthamMachaiah @srivatsayb @KTRTRS @BSYBJP @PLEKarnataka The retarders who hit peace and our economy must be eliminated to triumph as a state. So #CAA #NRC  #CAA_NRC_NPR is very much necessary. And #hind
1109,"Dubai, United Arab Emirates",0,Sun Mar 01 08:49:34 +0000 2020,"@mbckhan @TusharS62854225 @ashoswai My ex boss is a Hindu and he is such a nice guy. We still are in contact with each other. I asked him if he would avail #CAA in India. He said, No way. Why would I put myself in trouble in India. He loves Pakistan &amp;"
