"himachal Pradesh","0","thu feb 27 08:43:42 +0000 2020"," heard what microsoft ceo satya nadella had said about caa and nrc why didnt you run a campaign boycott microsoft why this hypocrisy"
"himachal Pradesh","0","thu feb 27 05:52:10 +0000 2020"," what other work do these guy have i say stop giving them all sort of freebie which honestly they dont deserve especially in light of all the damage caused to public property and life there just no point nrc is a must to understand"
"himachal Pradesh","0","thu feb 27 05:31:29 +0000 2020"," each person like, supporting the idea of shaheenbagh, without understanding to what caa stand for or the fact that nrc is not even implemented yet ha exposed their bias amp malafide intent, and today"
"himachal Pradesh","0","thu feb 27 03:59:28 +0000 2020"," once a bill is passed by both houses, i cant seem to understand why do ppl need to disrespect it let see what the supreme court have to say on this hopefully soon ðÿ˜¤ðÿ˜¤ and yes nrc wa supreme court order"
"himachal Pradesh","0","thu feb 27 03:27:19 +0000 2020"," muslim can cry all they want, carry out a much violence a they want, launch a many jihadi attack on india a they want caa and nrc is here to stay they are not going away"
"himachal Pradesh","0","wed feb 26 21:25:33 +0000 2020"," helping them in one way or other no one in this country are going to loose anything by caa and nrc plzz understand and dont be a puppet peace peace peace ðÿ™âœœðÿ‡®ðÿ‡³ delhiburns delhiviolence delhiriots2020"
"himachal Pradesh","0","wed feb 26 18:07:13 +0000 2020"," can cm explain fundamentally why he want to oppose caa and nrc"
"himachal Pradesh","0","wed feb 26 17:18:21 +0000 2020"," but i still say, caa is the biggest loophole in nrc just a political funding wa d biggest loophope in demo majority of those who wont have paper will conver"
"himachal Pradesh","0","wed feb 26 17:17:30 +0000 2020"," yes, rightly said by him who is not understanding the mean of caa and nrc who is anti national element should have been sent to pakistan so no property or no loss of life could have happened indiasupportscaa indiasaysnomore"
"himachal Pradesh","0","wed feb 26 16:11:04 +0000 2020"," journalist have lost their importance and charisma after 4g came people are aware of thing happening even before it being aired on mainstream medium kuddos to caa nrc a it ha unmasked many usurper like"
"himachal Pradesh","1","wed feb 26 16:07:39 +0000 2020"," could you pls let me know wats this caa nrc etc how and whom it affecting everyday i see some protest in our country wats happening you medium ppl can explain it much better"
"himachal Pradesh","0","wed feb 26 15:13:46 +0000 2020"," people of all religion, pls put this to end now believe and respect all the religion pls understand that caa or nrc doesn’t question your nationality pls do something a it’s heartbreaking to see people cry for loosing their family and home ðÿ’”ðÿ‡®ðÿ‡³"
"himachal Pradesh","0","wed feb 26 14:31:39 +0000 2020"," love the way payal get under the skin of these jihadis agree with every word she said nrc pan india and caa to be applied post nrc"
"himachal Pradesh","0","wed feb 26 13:14:32 +0000 2020"," yes you ask your hate monger to go and burn the muslim house mark my word caa and nrc will cause you a lot now your capital is under curfew"
"himachal Pradesh","0","wed feb 26 10:20:36 +0000 2020"," it time stop all these brutal protest we all indian need to understand if we let cancer spread in whole country there will be no hindustan for hindu time to take brutal action we a a govt must implement caa and nrc asap delhiroits2020"
"himachal Pradesh","0","wed feb 26 10:15:25 +0000 2020"," these lot might have even link to jihadis of kashmir and other area the tear of sonia gandhi, after batla house encounter are bearing fruit these jihadis need to be send to jahannum track those who killed our police and i"
"himachal Pradesh","0","wed feb 26 06:33:40 +0000 2020"," it wa a suggestion that cm had already made to the centre in a letter and the assembly unanimously stamped it today whether to accept the suggestion or not is up to centre bihar bjp mla mithilesh tiwari on state assembly resolution on nrc and npr"
"himachal Pradesh","0","wed feb 26 06:25:05 +0000 2020"," these are not anticaa or anti nrc protest they are and have always been hinduphobic protest with jihad against hindu being the underlying agenda woke hindus, stop falling for this you are being used these people are not against the law they are against you"
"himachal Pradesh","0","wed feb 26 05:20:44 +0000 2020"," citizen were killed for unnessory law like caa and nrc same thing happened in tuticorin for political and financial gain ruling party unleash law enforcement authority , pakistan look more safer place to live than india we are losi"
"himachal Pradesh","0","wed feb 26 03:03:09 +0000 2020"," govt should deport to pakistan who is doing protect who doe not understand nrc caa what kind of idiot or fool they are is that their father property vanishing like anything shame on those and should die in protest unnecessarily t"
"himachal Pradesh","0","wed feb 26 02:55:27 +0000 2020"," those who are opposing caa and nrc, are antinationasts please dont do any business buying or selling with that people unless it very much necessary this can starve their business please follow it ðÿ™ðÿ™ðÿ™"
"himachal Pradesh","1","wed feb 26 02:42:32 +0000 2020"," it is identification and deportation of these illegal immigrant that the proposed nrc target but a community for whom national interest are secondary are against deportation of their coreligionist and that is the reason behin"
"himachal Pradesh","2","wed feb 26 01:39:44 +0000 2020"," rt dear mr please mention the people from muslim community a well who are very much intolerant towards the sup…"
