,Location,Retweet_Count,Date,Tweets
176,"New Delhi, India",0,Fri Feb 28 10:07:04 +0000 2020,@IshitaYadav @Sanju_Verma_ @RanaAyyub @PrakashJavdekar What is #FakeNews ? Rana gets into cab and cab driver starts with story.  That too of #DelhiRiotTruth . Without disclosing he blames some caste with flithy language. Rana today i came from Trans Jamun
182,"New Delhi, India",0,Fri Feb 28 08:02:47 +0000 2020,"@khanumarfa Sessions Court of Calcutta has convicted Sajid, a Bangladesh national and a senior leader of Jamaat-Ul- Mujahideen (Bangladesh) operating in India and Md. Burhan SK, an Indian national, in a money laundering case relating to terror financing. "
183,"New Delhi, India",0,Fri Feb 28 08:02:01 +0000 2020,"Sessions Court of Calcutta has convicted Sajid, a Bangladesh national and a senior leader of Jamaat-Ul- Mujahideen (Bangladesh) operating in India and Md. Burhan SK, an Indian national, in a money laundering case relating to terror financing. #NRC"
185,"New Delhi, IndiaðŸ‡®ðŸ‡³",0,Fri Feb 28 07:58:03 +0000 2020,Immediate enactment and enforcement of #NRC #UniformCivilCode #PopulationControlLaw are need of hour for unity &amp; integrity of India.  @AmitShah @HMOIndia @narendramodi @PMOIndia @rashtrapatibhvn @RSSorg
187,"New Delhi, IndiaðŸ‡®ðŸ‡³",0,Fri Feb 28 07:56:59 +0000 2020,Immediate enactment and enforcement of #NRC #UniformCivilCode #PopulationControlLaw are need of hour for unity &amp; integrity of India.  @AmitShah @HMOIndia @PMOIndia @PMOIndia @rashtrapatibhvn @RSSorg
189,"New Delhi, India",1,Fri Feb 28 07:46:37 +0000 2020,RT @AKSingh24901789: @ANI These people have created an atmosphere of chaos across the country.  #NRC must be applied so that the real and fâ€¦
190,"India, Laguraon",1,Fri Feb 28 07:45:49 +0000 2020,@ANI These people have created an atmosphere of chaos across the country.  #NRC must be applied so that the real and fake can be identified.  @BJP4India @BJYM @BjymHO
192,Mumbai,0,Fri Feb 28 07:26:15 +0000 2020,"@anushasomething Thought there is 'something', but found ""nothing""... What a twisted logic? By that logic, only immigrant Muslims must protest against #CAA2019 and only Assamese must protest against #NRC... Because, those currently protesting are not ""exa"
194,Guwahati-Kolkata-,1,Fri Feb 28 06:28:55 +0000 2020,RT @Deepali_p: @defiantsunflowr I agree! I have been all for #NRC. Religion doesnt matter here! I strongly feel over the years our countryâ€¦
195,Uttarakhand,0,Fri Feb 28 06:27:09 +0000 2020,Unknown radical mob burnt houses and shops Unknown radical mob vandalized holy shrines. That's why #NRC is important to throw out these unknown radical zombies.  #DelhiRiotTruth
196,mumbai,1,Fri Feb 28 06:26:15 +0000 2020,@defiantsunflowr I agree! I have been all for #NRC. Religion doesnt matter here! I strongly feel over the years our country has been infiltrated by anti nationals..they have spread all over and it is them who have radicalised our soc with the help of thes
197,,1,Fri Feb 28 06:07:49 +0000 2020,I would say with all the clarity that not only #PatrioticIndiansSupportCAA but also urge @AmitShah &amp; @narendramodi ji bring #NRC as soon as possible to save our nation and dharma.
204,"New Delhi, India",0,Fri Feb 28 05:12:22 +0000 2020,@RubikaLiyaquat  excellent clear questions to @PrashantKishor with so much of calmness on @ABPNews on NRC and CAA. He could not prove his point. You are true picture of Journalist. He is true picture of neta with agenda. #CAA_NRC_NPR #NRC
205,Mumbai - The City of Dreams !,3,Fri Feb 28 05:09:13 +0000 2020,In July 19 I had tweeted to @HMOIndia that new terrorism module will be civil war and that will begin around NY2020 ! Trial was #bhimakoregaon !! At the end it's all about keeping unrest alive in some part of India. That's why #NRC is so important !  1/2 #DelhiRiotTruth
206,,0,Fri Feb 28 05:03:21 +0000 2020,"I request @AmitShah to bring #NRC in India after #DelhiRiot2020 , National Register of Criminals. And as Yogi announced first implement in UP, then BJP ruled states as India wants peace and not riots. #DelhiRiotTruth #amitshah_resign #DelhiRiot2020"
208,Does it matter,0,Fri Feb 28 04:47:41 +0000 2020,@narendramodi177 @Uppolice Either launch #UCC  and #NRC or Hindus should #Bycott_Incometax
209,,0,Fri Feb 28 04:44:55 +0000 2020,@NewIndi84427080 @tfipost Who says so? For got December and jan of 2019? #CAAProtest #NRC .
220,,0,Thu Feb 27 22:05:42 +0000 2020,Indian should start #BoycottMuslim and you will see no need for #NRC.  THINK WHY BANGLADESHI CAME TO INDIA.  @JainKiran6 @MihirkJha @Aryanwarlord @arifmohmmadk @Nationalist_Om
225,"Gwalior, India",1,Thu Feb 27 18:13:03 +0000 2020,RT @RaghuramanMenon: Dear @AmitShah Bhai After #NRC and deporting illegals #Aadhaar should only be the India ID and should be linked to Votâ€¦
228,,1,Thu Feb 27 17:45:53 +0000 2020,Dear @AmitShah Bhai After #NRC and deporting illegals #Aadhaar should only be the India ID and should be linked to Voters ID and #PAN Card. to save you from IT Scrutiny.
232,"New Delhi, India",4,Thu Feb 27 17:37:33 +0000 2020,"@AmitShah If without NRC draft this much Delhi has suffered already and we could clearly see an unaccountable threat pilling up in the various clusters of the capital,then it's the right time to BRING #NRC before too many families find their #AnkitSharma'"
